Year,Month,Bus,Total Trips,Total Passengers,
2018,January,1,0,0,
2018,February,1,0,0,
2018,March,1,0,0,
2018,April,1,0,0,
2018,May,1,0,0,
2018,June,1,0,0,
2018,July,1,0,0,
2018,August,1,0,0,
2018,September,1,0,0,
2018,October,1,0,0,
2018,November,1,129,1491,
2018,December,1,0,0,
2018,January,2,0,0,
2018,February,2,0,0,
2018,March,2,0,0,
2018,April,2,0,0,
2018,May,2,0,0,
2018,June,2,0,0,
2018,July,2,0,0,
2018,August,2,0,0,
2018,September,2,0,0,
2018,October,2,0,0,
2018,November,2,114,1531,
2018,December,2,0,0,
2018,January,3,0,0,
2018,February,3,0,0,
2018,March,3,0,0,
2018,April,3,0,0,
2018,May,3,0,0,
2018,June,3,0,0,
2018,July,3,0,0,
2018,August,3,0,0,
2018,September,3,0,0,
2018,October,3,0,0,
2018,November,3,120,1571,
2018,December,3,0,0,
2018,January,4,0,0,
2018,February,4,0,0,
2018,March,4,0,0,
2018,April,4,0,0,
2018,May,4,0,0,
2018,June,4,0,0,
2018,July,4,0,0,
2018,August,4,0,0,
2018,September,4,0,0,
2018,October,4,0,0,
2018,November,4,101,1486,
2018,December,4,0,0,
2018,January,5,0,0,
2018,February,5,0,0,
2018,March,5,0,0,
2018,April,5,0,0,
2018,May,5,0,0,
2018,June,5,0,0,
2018,July,5,0,0,
2018,August,5,0,0,
2018,September,5,0,0,
2018,October,5,0,0,
2018,November,5,56,1182,
2018,December,5,0,0,
2018,January,6,0,0,
2018,February,6,0,0,
2018,March,6,0,0,
2018,April,6,0,0,
2018,May,6,0,0,
2018,June,6,0,0,
2018,July,6,0,0,
2018,August,6,0,0,
2018,September,6,0,0,
2018,October,6,0,0,
2018,November,6,0,0,
2018,December,6,0,0,
2018,January,7,0,0,
2018,February,7,0,0,
2018,March,7,0,0,
2018,April,7,0,0,
2018,May,7,0,0,
2018,June,7,0,0,
2018,July,7,0,0,
2018,August,7,0,0,
2018,September,7,0,0,
2018,October,7,0,0,
2018,November,7,0,0,
2018,December,7,0,0,
2018,January,8,0,0,
2018,February,8,0,0,
2018,March,8,0,0,
2018,April,8,0,0,
2018,May,8,0,0,
2018,June,8,0,0,
2018,July,8,0,0,
2018,August,8,0,0,
2018,September,8,0,0,
2018,October,8,0,0,
2018,November,8,28,1285,
2018,December,8,0,0,
2018,January,9,0,0,
2018,February,9,0,0,
2018,March,9,0,0,
2018,April,9,0,0,
2018,May,9,0,0,
2018,June,9,0,0,
2018,July,9,0,0,
2018,August,9,0,0,
2018,September,9,0,0,
2018,October,9,0,0,
2018,November,9,51,1434,
2018,December,9,0,0,
2018,January,10,0,0,
2018,February,10,0,0,
2018,March,10,0,0,
2018,April,10,0,0,
2018,May,10,0,0,
2018,June,10,0,0,
2018,July,10,0,0,
2018,August,10,0,0,
2018,September,10,0,0,
2018,October,10,0,0,
2018,November,10,39,1335,
2018,December,10,0,0,
2018,January,A,39,1009,
2018,February,A,44,1376,
2018,March,A,0,0,
2018,April,A,0,0,
2018,May,A,0,0,
2018,June,A,0,0,
2018,July,A,0,0,
2018,August,A,0,0,
2018,September,A,0,0,
2018,October,A,0,0,
2018,November,A,0,0,
2018,December,A,0,0,
2018,January,B,121,2742,
2018,February,B,94,1646,
2018,March,B,0,0,
2018,April,B,0,0,
2018,May,B,0,0,
2018,June,B,0,0,
2018,July,B,0,0,
2018,August,B,0,0,
2018,September,B,0,0,
2018,October,B,0,0,
2018,November,B,0,0,
2018,December,B,0,0,
2018,January,C,0,0,
2018,February,C,0,0,
2018,March,C,0,0,
2018,April,C,0,0,
2018,May,C,0,0,
2018,June,C,0,0,
2018,July,C,0,0,
2018,August,C,0,0,
2018,September,C,0,0,
2018,October,C,0,0,
2018,November,C,0,0,
2018,December,C,0,0,
2018,January,D,5,25,
2018,February,D,79,2150,
2018,March,D,0,0,
2018,April,D,0,0,
2018,May,D,0,0,
2018,June,D,0,0,
2018,July,D,0,0,
2018,August,D,0,0,
2018,September,D,0,0,
2018,October,D,0,0,
2018,November,D,0,0,
2018,December,D,0,0,
2018,January,E,110,3751,
2018,February,E,51,1319,
2018,March,E,0,0,
2018,April,E,0,0,
2018,May,E,0,0,
2018,June,E,0,0,
2018,July,E,0,0,
2018,August,E,0,0,
2018,September,E,0,0,
2018,October,E,0,0,
2018,November,E,0,0,
2018,December,E,0,0,
2018,January,F,60,1530,
2018,February,F,94,2306,
2018,March,F,0,0,
2018,April,F,0,0,
2018,May,F,0,0,
2018,June,F,0,0,
2018,July,F,0,0,
2018,August,F,0,0,
2018,September,F,0,0,
2018,October,F,0,0,
2018,November,F,0,0,
2018,December,F,0,0,
2018,January,G,96,2521,
2018,February,G,80,1937,
2018,March,G,0,0,
2018,April,G,0,0,
