Bus,Year,Month,Predicted_Total_Trips,Predicted_Total_Passengers
Bus 1,2025,October,2.38,134.9
Bus 10,2025,October,2.38,134.9
Bus 2,2025,October,2.49,140.71
Bus 3,2025,October,2.39,135.58
Bus 4,2025,October,2.38,134.9
Bus 5,2025,October,2.38,134.9
Bus 6,2025,October,2.38,134.9
Bus 7,2025,October,2.38,134.9
Bus 8,2025,October,2.38,134.9
Bus 9,2025,October,4.17,236.07
Bus A,2025,October,4.17,236.07
Bus ALL_BUSES,2025,October,2.4,138.91
Bus APV,2025,October,19.07,1377.37
Bus B,2025,October,21.8,1585.45
Bus C,2025,October,1.38,101.25
Bus D,2025,October,0.27,17.79
Bus E,2025,October,0.4,14.38
Bus F,2025,October,0.0,0.0
Bus G,2025,October,0.0,0.0
Bus H,2025,October,0.0,0.0
Bus 1,2025,November,2.7,190.08
Bus 10,2025,November,2.7,190.08
Bus 2,2025,November,2.7,190.08
Bus 3,2025,November,2.7,190.08
Bus 4,2025,November,2.7,190.08
Bus 5,2025,November,2.7,190.08
Bus 6,2025,November,2.81,196.47
Bus 7,2025,November,2.81,196.47
Bus 8,2025,November,2.7,190.08
Bus 9,2025,November,4.64,318.85
Bus A,2025,November,4.64,318.85
Bus ALL_BUSES,2025,November,2.53,151.41
Bus APV,2025,November,31.6,2150.46
Bus B,2025,November,35.44,2410.83
Bus C,2025,November,4.33,286.9
Bus D,2025,November,0.38,25.18
Bus E,2025,November,2.25,127.98
Bus F,2025,November,0.0,0.0
Bus G,2025,November,0.0,0.0
Bus H,2025,November,0.0,0.0
Bus 1,2025,December,2.15,140.05
Bus 10,2025,December,2.15,140.05
Bus 2,2025,December,2.15,140.05
Bus 3,2025,December,2.15,140.05
Bus 4,2025,December,2.15,140.05
Bus 5,2025,December,2.15,140.05
Bus 6,2025,December,2.15,140.05
Bus 7,2025,December,2.15,140.05
Bus 8,2025,December,2.15,140.05
Bus 9,2025,December,5.18,339.79
Bus A,2025,December,5.18,339.79
Bus ALL_BUSES,2025,December,1.74,93.7
Bus APV,2025,December,12.69,837.9
Bus B,2025,December,14.42,955.5
Bus C,2025,December,8.39,493.58
Bus D,2025,December,12.75,699.04
Bus E,2025,December,38.62,2117.68
Bus F,2025,December,8.25,452.32
Bus G,2025,December,1.88,102.8
Bus H,2025,December,1.88,102.8
Bus 1,2026,January,76.59,4504.24
Bus 10,2026,January,76.59,4504.24
Bus 2,2026,January,76.59,4504.24
Bus 3,2026,January,76.59,4504.24
Bus 4,2026,January,76.59,4504.24
Bus 5,2026,January,76.59,4504.24
Bus 6,2026,January,76.59,4504.24
Bus 7,2026,January,76.59,4504.24
Bus 8,2026,January,76.59,4504.24
Bus 9,2026,January,79.95,4646.24
Bus A,2026,January,79.95,4646.24
Bus ALL_BUSES,2026,January,145.84,8041.06
Bus APV,2026,January,10.34,485.47
Bus B,2026,January,10.61,494.61
Bus C,2026,January,15.35,565.38
Bus D,2026,January,9.45,348.08
Bus E,2026,January,7.53,382.46
Bus F,2026,January,64.17,3626.06
Bus G,2026,January,48.69,2622.18
Bus H,2026,January,41.8,2347.57
Bus 1,2026,February,89.86,5269.23
Bus 10,2026,February,89.86,5269.23
Bus 2,2026,February,89.86,5269.23
Bus 3,2026,February,89.86,5269.23
Bus 4,2026,February,89.86,5269.23
Bus 5,2026,February,89.86,5269.23
Bus 6,2026,February,89.86,5269.23
Bus 7,2026,February,89.86,5269.23
Bus 8,2026,February,89.86,5269.23
Bus 9,2026,February,94.28,5415.69
Bus A,2026,February,94.28,5415.69
Bus ALL_BUSES,2026,February,177.41,10256.83
Bus APV,2026,February,10.24,604.72
Bus B,2026,February,10.15,604.84
Bus C,2026,February,10.24,449.78
Bus D,2026,February,8.54,332.83
Bus E,2026,February,7.78,426.88
Bus F,2026,February,76.12,4282.99
Bus G,2026,February,56.88,3022.3
Bus H,2026,February,47.09,2608.95
