Year,Month,Bus,Total Trips,Total Passengers
2018,January,Bus 1,7,246
2018,January,Bus 2,12,512
2018,January,Bus 3,6,434
2018,January,Bus 4,13,178
2018,January,Bus 5,10,415
2018,January,Bus 6,7,286
2018,January,Bus 7,16,292
2018,January,Bus 8,20,564
2018,January,Bus 9,17,433
2018,January,Bus 10,18,313
2018,February,Bus 1,10,351
2018,February,Bus 2,10,207
2018,February,Bus 3,6,352
2018,February,Bus 4,17,422
2018,February,Bus 5,15,423
2018,February,Bus 6,13,353
2018,February,Bus 7,20,397
2018,February,Bus 8,6,262
2018,February,Bus 9,8,156
2018,February,Bus 10,7,600
2018,March,Bus 1,11,411
2018,March,Bus 2,11,353
2018,March,Bus 3,10,153
2018,March,Bus 4,10,451
2018,March,Bus 5,13,546
2018,March,Bus 6,13,599
2018,March,Bus 7,19,401
2018,March,Bus 8,8,437
2018,March,Bus 9,18,243
2018,March,Bus 10,7,292
2018,April,Bus 1,20,434
2018,April,Bus 2,9,196
2018,April,Bus 3,15,397
2018,April,Bus 4,10,577
2018,April,Bus 5,15,211
2018,April,Bus 6,9,399
2018,April,Bus 7,12,420
2018,April,Bus 8,16,558
2018,April,Bus 9,5,506
2018,April,Bus 10,7,556
2018,May,Bus 1,11,219
2018,May,Bus 2,18,434
2018,May,Bus 3,13,160
2018,May,Bus 4,6,238
2018,May,Bus 5,20,490
2018,May,Bus 6,18,403
2018,May,Bus 7,7,540
2018,May,Bus 8,11,204
2018,May,Bus 9,7,192
2018,May,Bus 10,11,407
2018,June,Bus 1,5,276
2018,June,Bus 2,20,464
2018,June,Bus 3,12,393
2018,June,Bus 4,10,345
2018,June,Bus 5,15,251
2018,June,Bus 6,7,451
2018,June,Bus 7,5,229
2018,June,Bus 8,7,322
2018,June,Bus 9,12,302
2018,June,Bus 10,8,363
2018,July,Bus 1,6,328
2018,July,Bus 2,19,350
2018,July,Bus 3,9,449
2018,July,Bus 4,8,368
2018,July,Bus 5,19,550
2018,July,Bus 6,10,212
2018,July,Bus 7,11,359
2018,July,Bus 8,10,388
2018,July,Bus 9,16,290
2018,July,Bus 10,9,522
2018,August,Bus 1,17,406
2018,August,Bus 2,20,481
2018,August,Bus 3,9,385
2018,August,Bus 4,6,415
2018,August,Bus 5,19,399
2018,August,Bus 6,14,588
2018,August,Bus 7,16,232
2018,August,Bus 8,11,237
2018,August,Bus 9,16,231
2018,August,Bus 10,18,512
2018,September,Bus 1,15,551
2018,September,Bus 2,19,397
2018,September,Bus 3,14,577
2018,September,Bus 4,16,484
